"","year","SEAKCatch_log","resid","hat_values","Cooks_distance","std_resid","fitted"
"1",1998,3.75,0.42,0.048,0.035,1.452,3.33
"2",1999,4.354,-0.5,0.346,0.767,-2.087,4.854
"3",2000,3.011,-0.211,0.099,0.021,-0.751,3.222
"4",2001,4.205,-0.031,0.12,0.001,-0.11,4.235
"5",2002,3.813,0.163,0.048,0.005,0.566,3.65
"6",2003,3.961,-0.062,0.166,0.003,-0.228,4.022
"7",2004,3.813,0.216,0.058,0.011,0.751,3.597
"8",2005,4.079,0.013,0.102,0,0.046,4.066
"9",2006,2.451,-0.177,0.243,0.051,-0.687,2.628
"10",2007,3.802,0.178,0.059,0.008,0.62,3.624
"11",2008,2.766,-0.035,0.105,0.001,-0.125,2.801
"12",2009,3.638,-0.373,0.236,0.212,-1.438,4.01
"13",2010,3.178,0.112,0.066,0.004,0.392,3.066
"14",2011,4.076,0.191,0.088,0.015,0.674,3.885
"15",2012,3.059,0.047,0.105,0.001,0.167,3.012
"16",2013,4.551,0.603,0.082,0.135,2.125,3.948
"17",2014,3.616,0.382,0.06,0.038,1.33,3.234
"18",2015,3.558,-0.343,0.069,0.035,-1.199,3.901
"19",2016,2.912,-0.075,0.097,0.003,-0.267,2.988
"20",2017,3.547,0.001,0.256,0,0.004,3.546
"21",2018,2.092,-0.458,0.216,0.28,-1.746,2.55
"22",2019,3.049,0.2,0.099,0.019,0.713,2.849
"23",2020,2.075,-0.262,0.234,0.104,-1.012,2.338
